SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,EntityType,LOCALE_NAME,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"15 - 16 School Year","50","Macomb ISD","50070","Clintondale Community Schools","00712","Creative Learning Center - Dearborn","LEA School","City: Small","252","163","89","2","2","128","3","0","110","7","0","0","0","0","0","0","0","0","0","119","84","40","9","150","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50070","Clintondale Community Schools","00714","Creative Learning Center - Highland Park","LEA School","Suburb: Large","229","106","123","0","2","224","0","0","1","2","0","0","0","0","0","0","0","0","0","183","14","13","19","151","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50070","Clintondale Community Schools","00720","Creative Learning Center - Warren","LEA School","City: Midsize","241","121","120","0","0","237","0","0","2","2","0","0","0","0","0","0","0","0","0","63","64","75","39","148","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50070","Clintondale Community Schools","06183","Rainbow Elementary School","LEA School","Suburb: Large","237","127","110","0","2","95","15","0","97","28","35","40","26","30","34","37","35","0","0","0","0","0","0","201","69","13"
"15 - 16 School Year","50","Macomb ISD","50070","Clintondale Community Schools","06767","Robbie Hall Parker School","LEA School","Suburb: Large","435","231","204","0","4","392","2","0","13","24","73","69","63","60","63","50","57","0","0","0","0","0","0","394","54","<10"
"15 - 16 School Year","50","Macomb ISD","50902","Conner Creek Academy East","00000","Administrative Unit","Administrative Unit","City: Midsize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50902","Conner Creek Academy East","08726","Conner Creek Academy East - Elementary","PSA School","Suburb: Large","404","200","204","0","0","387","4","0","4","9","48","57","52","66","56","64","61","0","0","0","0","0","0","372","54","<10"
"15 - 16 School Year","50","Macomb ISD","50902","Conner Creek Academy East","09089","Conner Creek Academy East - Michigan Collegiate","PSA School","City: Midsize","413","223","190","0","1","402","2","1","4","3","0","0","0","0","0","0","0","0","0","116","128","78","91","343","60","<10"
"15 - 16 School Year","50","Macomb ISD","50020","Eastpointe Community Schools","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50020","Eastpointe Community Schools","00268","Bellview  Elementary School","LEA School","Suburb: Large","334","181","153","4","11","182","2","0","112","23","0","0","0","111","91","132","0","0","0","0","0","0","0","228","77","14"
"15 - 16 School Year","50","Macomb ISD","50020","Eastpointe Community Schools","00831","Crescentwood Elementary School","LEA School","City: Midsize","259","140","119","7","5","156","2","0","59","30","76","92","91","0","0","0","0","0","0","0","0","0","0","208","48","<10"
"15 - 16 School Year","50","Macomb ISD","50020","Eastpointe Community Schools","03247","Eastpointe Alternative Center","LEA School","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50020","Eastpointe Community Schools","03195","Eastpointe Early Learning Center","LEA Unique Education Provider","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50020","Eastpointe Community Schools","01003","Eastpointe High School","LEA School","Suburb: Large","1059","531","528","7","18","813","15","2","147","57","0","0","0","0","0","0","0","0","0","257","258","276","268","623","204","17"
"15 - 16 School Year","50","Macomb ISD","50020","Eastpointe Community Schools","02009","Eastpointe Middle School","LEA School","Suburb: Large","753","396","357","4","20","500","9","0","148","72","0","0","0","0","0","0","220","263","270","0","0","0","0","493","158","22"
"15 - 16 School Year","50","Macomb ISD","50020","Eastpointe Community Schools","03083","Eastpointe Virtual Academy","LEA School","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50020","Eastpointe Community Schools","00821","Forest Park Elementary School","LEA School","Suburb: Large","329","172","157","1","9","210","3","0","58","48","112","116","101","0","0","0","0","0","0","0","0","0","0","247","52","<10"
"15 - 16 School Year","50","Macomb ISD","50020","Eastpointe Community Schools","03074","Pleasantview  Elementary School","LEA School","Suburb: Large","323","171","152","0","6","245","1","0","46","25","0","0","0","119","101","103","0","0","0","0","0","0","0","218","48","<10"
"15 - 16 School Year","50","Macomb ISD","82915","Eaton Academy","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","82915","Eaton Academy","08337","Eaton Academy","PSA School","Suburb: Large","313","154","159","0","0","309","0","0","4","0","37","35","47","34","38","26","33","41","22","0","0","0","0","239","41","<10"
"15 - 16 School Year","50","Macomb ISD","50090","Fitzgerald Public Schools","00000","Administrative Unit","Administrative Unit","City: Midsize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50090","Fitzgerald Public Schools","02667","Fitzgerald Early Childhood","LEA Unique Education Provider","City: Midsize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50090","Fitzgerald Public Schools","01242","Fitzgerald Senior High School","LEA School","City: Midsize","918","447","471","3","160","423","24","0","273","35","0","0","0","0","0","0","0","0","0","261","242","225","190","796","112","103"
"15 - 16 School Year","50","Macomb ISD","50090","Fitzgerald Public Schools","02421","Fitzgerald Virtual Academy","LEA School","City: Midsize","109","53","56","2","9","43","4","0","48","3","0","0","0","0","0","0","0","0","0","5","15","22","67","84","10","<10"
"15 - 16 School Year","50","Macomb ISD","50090","Fitzgerald Public Schools","02623","Mound Park Elementary School","LEA School","City: Midsize","470","257","213","2","71","198","20","0","153","26","76","70","62","91","86","85","0","0","0","0","0","0","0","431","69","83"
"15 - 16 School Year","50","Macomb ISD","50090","Fitzgerald Public Schools","05878","P.D. Chatterton Middle School","LEA School","City: Midsize","538","282","256","0","96","210","25","0","192","15","0","0","0","0","0","0","189","170","179","0","0","0","0","487","102","78"
"15 - 16 School Year","50","Macomb ISD","50090","Fitzgerald Public Schools","03156","Schofield Elementary School","LEA School","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50090","Fitzgerald Public Schools","04488","Westview Elementary School","LEA School","City: Midsize","578","292","286","5","118","159","22","0","247","27","86","112","112","96","89","83","0","0","0","0","0","0","0","501","62","136"
"15 - 16 School Year","50","Macomb ISD","50100","Fraser Public Schools","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50100","Fraser Public Schools","09497","Dooley Center","LEA Unique Education Provider","Suburb: Large","52","31","21","0","2","3","1","0","43","3","51","1","0","0","0","0","0","0","0","0","0","0","0","18","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50100","Fraser Public Schools","00978","Eisenhower Elementary School","LEA School","Suburb: Large","517","255","262","1","7","113","15","0","357","24","74","71","73","64","76","72","87","0","0","0","0","0","0","286","51","<10"
"15 - 16 School Year","50","Macomb ISD","50100","Fraser Public Schools","01308","Fraser High School","LEA School","Suburb: Large","1637","779","858","3","25","188","46","3","1311","61","0","0","0","0","0","0","0","0","0","438","444","409","346","560","162","18"
"15 - 16 School Year","50","Macomb ISD","50100","Fraser Public Schools","02382","Mark Twain Elementary School","LEA School","Suburb: Large","389","198","191","0","4","38","13","1","304","29","54","56","53","53","56","53","64","0","0","0","0","0","0","201","56","<10"
"15 - 16 School Year","50","Macomb ISD","50100","Fraser Public Schools","03145","Ralph Waldo Emerson Elem. School","LEA School","Suburb: Large","396","211","185","1","9","31","11","0","320","24","56","54","52","55","57","60","62","0","0","0","0","0","0","169","30","44"
"15 - 16 School Year","50","Macomb ISD","50100","Fraser Public Schools","05957","Richards Middle School","LEA School","Suburb: Large","820","433","387","0","17","98","30","2","634","39","0","0","0","0","0","0","0","407","413","0","0","0","0","334","95","20"
"15 - 16 School Year","50","Macomb ISD","50100","Fraser Public Schools","00955","Salk Elementary School","LEA School","Suburb: Large","565","293","272","3","10","60","19","1","440","32","53","91","79","91","79","81","91","0","0","0","0","0","0","193","71","29"
"15 - 16 School Year","50","Macomb ISD","50100","Fraser Public Schools","04162","Thomas A. Edison Elem. School","LEA School","Suburb: Large","457","237","220","3","6","65","16","0","324","43","54","58","45","60","74","66","100","0","0","0","0","0","0","224","51","12"
"15 - 16 School Year","50","Macomb ISD","50100","Fraser Public Schools","04904","Walt Disney Elementary School","LEA School","Suburb: Large","404","188","216","1","10","54","4","0","319","16","49","50","54","53","76","62","60","0","0","0","0","0","0","127","29","18"
"15 - 16 School Year","50","Macomb ISD","50904","Global Preparatory Academy","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50904","Global Preparatory Academy","08737","Global Preparatory Academy","PSA School","Suburb: Large","206","111","95","0","0","198","0","0","4","4","33","26","27","20","25","14","18","20","23","0","0","0","0","194","15","<10"
"15 - 16 School Year","50","Macomb ISD","63922","Great Oaks Academy","00000","Administrative Unit","Administrative Unit","City: Midsize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","63922","Great Oaks Academy","09448","Great Oaks Academy","PSA School","City: Midsize","711","345","366","1","33","627","10","1","16","23","75","74","85","83","88","79","80","78","69","0","0","0","0","653","68","29"
"15 - 16 School Year","50","Macomb ISD","50903","Huron Academy","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50903","Huron Academy","03028","Huron Academy (Grades 3-8)","PSA School","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50903","Huron Academy","08725","Huron Academy (Grades K-2)","PSA School","Suburb: Large","512","242","270","1","45","109","24","0","305","28","83","61","73","78","71","81","65","0","0","0","0","0","0","288","43","185"
"15 - 16 School Year","50","Macomb ISD","50140","L'Anse Creuse Public Schools","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50140","L'Anse Creuse Public Schools","09376","Anna Mae Burdi Early Childhood Center","LEA Unique Education Provider","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50140","L'Anse Creuse Public Schools","00145","Atwood Elementary School","LEA School","Suburb: Large","652","309","343","2","8","45","14","0","558","25","84","110","85","118","122","133","0","0","0","0","0","0","0","159","45","21"
"15 - 16 School Year","50","Macomb ISD","50140","L'Anse Creuse Public Schools","00060","DiAnne M. Pellerin Center","LEA School","Suburb: Large","262","151","111","2","1","55","10","0","172","22","0","0","0","0","0","0","0","0","0","66","57","75","64","149","32","<10"
"15 - 16 School Year","50","Macomb ISD","50140","L'Anse Creuse Public Schools","06768","Donald J. Yacks Elem. School","LEA School","Suburb: Large","367","189","178","2","8","55","16","0","269","17","54","61","56","71","56","69","0","0","0","0","0","0","0","167","32","12"
"15 - 16 School Year","50","Macomb ISD","50140","L'Anse Creuse Public Schools","06360","Emma V. Lobbestael Elem. School","LEA School","Suburb: Large","371","176","195","0","1","24","15","0","314","17","56","54","50","78","68","65","0","0","0","0","0","0","0","123","56","<10"
"15 - 16 School Year","50","Macomb ISD","50140","L'Anse Creuse Public Schools","08242","Francis A. Higgins Elem. School","LEA School","Suburb: Large","465","254","211","0","0","12","39","0","370","44","67","78","82","77","81","80","0","0","0","0","0","0","0","201","54","24"
"15 - 16 School Year","50","Macomb ISD","50140","L'Anse Creuse Public Schools","06550","Frederick V. Pankow Center","LEA Unique Education Provider","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","50","Macomb ISD","50140","L'Anse Creuse Public Schools","05223","Green Elementary School","LEA School","Suburb: Large","539","280","259","0","4","45","40","1","411","38","88","68","90","101","99","93","0","0","0","0","0","0","0","212","61","29"
"15 - 16 School Year","50","Macomb ISD","50140","L'Anse Creuse Public Schools","09378","John R. Armstrong Performing Arts Center","LEA Non-Instructional Ancillary Facility","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
